"IndividualId","Gender","RaceIndex","Population Name","Organism|Weight [kg]","Organism|BMI [kg/dm²]","Organism|Age [year(s)]","Organism|Gestational age [week(s)]","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Ontogeny factor (albumin)","Organism|Height [dm]","Organism|Hematocrit","Organism|VenousBlood|Volume [l]","Organism|ArterialBlood|Volume [l]","Organism|Bone|Specific blood flow rate [l/min/kg organ]","Organism|Bone|Volume [l]","Organism|Brain|Volume [l]","Organism|Brain|Specific blood flow rate [l/min/kg organ]","Organism|Fat|Volume [l]","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (water)","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Specific blood flow rate [l/min/kg organ]","Organism|Gonads|Volume [l]","Organism|Gonads|Specific blood flow rate [l/min/kg organ]","Organism|Heart|Volume [l]","Organism|Heart|Specific blood flow rate [l/min/kg organ]","Organism|Kidney|Volume [l]","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|GFRmat [l/min]","Organism|Kidney|Aging half-time [year(s)]","Organism|Kidney|Age of aging onset [year(s)]","Organism|Kidney|TM50 for GFR [week(s)]","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|Specific blood flow rate [l/min/kg organ]","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius [dm]","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Gastric emptying time [min]","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|Length [dm]","Organism|Lumen|Stomach|Proximal radius [dm]","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume [l]","Organism|Stomach|Specific blood flow rate [l/min/kg organ]","Organism|SmallIntestine|Small intestinal transit time [min]","Organism|SmallIntestine|Volume [l]","Organism|SmallIntestine|Specific blood flow rate [l/min/kg organ]","Organism|LargeIntestine|Large intestinal transit time [min]","Organism|LargeIntestine|Volume [l]","Organism|LargeIntestine|Specific blood flow rate [l/min/kg organ]","Organism|Liver|Volume [l]","Organism|Liver|Specific blood flow rate [l/min/kg organ]","Organism|Lung|Volume [l]","Organism|Lung|Fraction vascular","Organism|Muscle|Volume [l]","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Vf (water)","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Specific blood flow rate [l/min/kg organ]","Organism|Pancreas|Volume [l]","Organism|Pancreas|Specific blood flow rate [l/min/kg organ]","Organism|PortalVein|Volume [l]","Organism|Skin|Volume [l]","Organism|Skin|Specific blood flow rate [l/min/kg organ]","Organism|Spleen|Volume [l]","Organism|Spleen|Specific blood flow rate [l/min/kg organ]","CYP1A2|Ontogeny factor","CYP1A2|Ontogeny factor GI","CYP2D6|Ontogeny factor","CYP2D6|Ontogeny factor GI","CYP1A2|Reference concentration [µmol/l]","CYP1A2|t1/2 (liver) [min]","CYP2D6|Reference concentration [µmol/l]","CYP2D6|t1/2 (liver) [min]"
0,1,0,Population based on de Vries,53.9213147172693,0.189589296025023,14.6913319894538,40,1.09669090307042,1.14314521511768,16.8644945495042,0.43,0.755132306928118,0.338247023652641,0.0365218729829292,9.12912209213642,1.39769717904844,0.519956177411941,8.747577394283,0.720265380679171,0.729382663978908,0.00182345665994727,0.220617336021092,0.264740803225311,0.220617336021092,0.838790063575744,0.77770426546751,0.00184533813986664,0.00145876532795782,0.198555602418983,0.0441234672042185,0.0132370401612655,0.0335884430171994,0.0180219691044137,0.233468709051889,0.385251716127104,0.85305215951911,0.309631503397121,14.9964247234039,1.5,0.0902467797008199,54,30,43.6063402289186,0.9,3.67263177505962,2.00140432518438,0.469344385858241,0.847126254764184,11.8191808643649,0.806138869630517,1.87735877810501,0.469344385858241,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.142822429004946,0.469719476857143,304.576218213537,0.447528428962682,1.09801548261755,2505,0.418168199535293,0.773370460056351,2.09669242343254,0.241561001163445,0.579794915299965,0.58,25.6556012962449,0.0238,0.013,0.177,0.0072,0.76,0.811,0.183704016126554,0.0049,0.022,0.0042,0.0078,0.19,0.079,0.76,0.666,0.0313566101060929,0.0990735066399169,0.443430496800023,0.916649752981737,2.21515070801492,0.145023301150417,0.269151872475142,0.9032712939137,1.2907598388324,1.23241287342947,0.728663509838778,0.962737074546489,1.8,2183.31592677141,0.4,3060
1,1,0,Population based on de Vries,12.6781364822436,0.132567558997773,4.05968697930672,40,2.21710078685123,1.46887022615085,9.77932955148304,0.37,0.23054255370184,0.0871908475925769,0.0597360991070239,2.32035455102812,1.25498110391647,0.654922392616459,1.22940670543705,0.5925,0.6,0.0015,0.35,0.419999999994,0.349999999995,0.69,0.63975,0.001518,0.0012,0.3149999999955,0.069999999999,0.0209999999997,0.0300696256188827,0.00202019469114526,0.725085724077302,0.0913866776683284,1.14002468155979,0.154493374142146,15.0896789538252,1.5,0.101684053915112,54,30,44.0258304607187,0.9,3.26195955260111,1.72627531252622,0.287621413577501,1.64385617673272,24.6027499154115,0.688224253762562,1.15045505744021,0.287621413577501,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0401470877539641,0.531438580745283,250.086493251761,0.22215715700482,1.2559382323841,2470.20841823435,0.0922542341547063,0.948746569075792,0.600854670473882,0.249222184143787,0.277777290378833,0.58,5.17890474102093,0.0238,0.013,0.194781560327213,0.0072,0.76220567242614,0.813353684654736,0.289403130206933,0.0049,0.022,0.0042,0.0078,0.209087550633731,0.0792292738442962,0.76220567242614,0.667932865573433,0.0320793085161783,0.0318327700159657,0.644491637914808,0.219548850760108,0.551280045414964,0.240848155920781,0.0930036270877621,1.16172937857191,1.71135182230972,1.24947943149022,0.864551230019498,0.92218251923043,1.8,3665.98688186749,0.4,3060
2,1,0,Population based on de Vries,56.4687104159471,0.216413537242025,26.7185831101232,40,1.13070623574951,1.04677241827333,16.1533172668839,0.459061943700411,0.841401306158244,0.392000207857008,0.0306363163573605,9.74134274036335,1.62542710208848,0.539137753843139,11.5663782738492,0.774878137165818,0.784686721180575,0.00196171680295144,0.173125667559507,0.19837593458331,0.165313278819425,0.902389729357661,0.836672216458788,0.00198525740458685,0.00156937344236115,0.148781950937483,0.033062655763885,0.00991879672916549,0.0220181024613863,0.0358625582785551,0.101556441093597,0.372587526778963,0.662261297654672,0.409053389116089,15.3145562834147,1.5,0.147293307972517,54,30,44.5923240477245,0.9,2.98331268707338,0.972299932461325,0.49440627800839,0.869424802404901,15.8983288309927,1.36394955507109,1.97762073681104,0.49440627800839,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.138333796018958,0.390837081894092,78.4593079210584,0.639443672474643,0.881685168899133,2619.84211447921,0.321746445396621,0.684811562722773,1.87646407691797,0.198103675696795,0.96742936956448,0.58,23.2184932307965,0.0238,0.013,0.177,0.0072,0.76,0.811,0.164375222519836,0.0049,0.022,0.0042,0.0078,0.19,0.079,0.76,0.666,0.0315904323002736,0.169817522050069,0.370579440207869,0.940380982111169,2.99396456545351,0.0907927689849168,0.218583650673244,0.820994517810999,0.931767193299709,1.03554603926957,0.49323722457392,1.04914821442293,1.8,334.399357789793,0.4,3060
3,1,0,Population based on de Vries,58.3073018874008,0.252506960363997,67.9057828001239,40,1.39928651067141,1.24657019995434,15.1958429235116,0.47,0.870564517342089,0.386364802593236,0.0271756586829764,8.59400426338485,1.39698072463878,0.464461594173203,14.5554576956187,0.79,0.8,0.002,0.16,0.18,0.15,0.92,0.853,0.002024,0.0016,0.135,0.03,0.00899999999999998,0.0192600269080798,0.0283771859983525,0.0825858936986261,0.52005045720155,0.651993986194446,0.483797213459239,15.1081293204906,1.5,0.137938186268222,54,30,43.6697492459234,0.9,1.85499474416177,1.44980240374753,0.5,1.00270625418062,18.0119574492492,2.01317015564248,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.172557959868017,0.270285208263474,66.5214615502114,0.745668850062803,0.657252130720328,2652,0.416483761271521,0.460501870441384,2.09544864228051,0.170184345249553,0.965942269602872,0.58,23.0170798204357,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.19,0.079,0.76,0.666,0.0345993956291643,0.152256265414851,0.275031217507884,0.782134823398808,2.94575748386379,0.0870363750647255,0.178375150965077,0.810201177092039,0.836594913875572,2.2274762231109,2.58811302789754,1.54490078360039,1.8,1880.5387998326,0.4,3060
4,1,0,Population based on de Vries,62.058438239304,0.203968897385159,42.0054402397971,40,0.882938188015219,0.959403057884838,17.4428901954085,0.47,0.950467729254248,0.399051470513021,0.0278291886875094,11.5877460989628,1.5493768562119,0.485680775731406,7.90136923002585,0.79,0.8,0.002,0.16,0.18,0.15,0.92,0.853,0.002024,0.0016,0.135,0.03,0.00899999999999998,0.0214722848755514,0.0394222907504727,0.0756177856758066,0.357734565576423,0.625939265366564,0.412984293010113,14.9581191721915,1.5,0.0933812213964764,54,30,43.9071166429288,0.9,2.85800616763829,1.71972824416226,0.5,1.27444301001333,30.5555887513332,2.32370010373997,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.17882682949201,0.374556610558397,217.545250686682,0.561016556641417,0.889867921990786,2652,0.421765069945147,0.677429342198601,1.96840670378813,0.195769007512503,1.33314303599707,0.58,29.8676537946665,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.19,0.079,0.76,0.666,0.0361701529894654,0.230193188026523,0.354173173525107,0.777236745207115,3.20946346914535,0.0887487723001552,0.312580312089905,0.913839771211954,0.690516835585198,1.67056888021417,0.541716221153591,0.26332761540794,1.8,3141.98940877869,0.4,3060
5,1,0,Population based on de Vries,67.7391724879201,0.227032167716368,36.8129409089745,40,1.43154782782921,0.821371840900911,17.2733369773032,0.47,0.926212997557642,0.37282950005697,0.0253156970510276,11.3823729017394,1.48313835593508,0.469676715306342,12.3171346545632,0.79,0.8,0.002,0.16,0.18,0.15,0.92,0.853,0.002024,0.0016,0.135,0.03,0.00899999999999998,0.0231152188778521,0.0399376967040415,0.077799730658565,0.378390244092417,0.581239857934522,0.402492098409056,14.6990198002932,1.5,0.123373950625995,54,30,44.2184296898093,0.9,3.15764933144834,0.922016802046823,0.5,1.30263715844868,24.292883485445,0.535443608409541,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.16799113410588,0.400264193521623,157.854810404386,0.818209844473229,0.93954014602332,2652,0.407152587103486,0.649222423585351,2.45123627476472,0.188136243140048,2.04097234323085,0.58,29.5333919177632,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.19,0.079,0.76,0.666,0.0337009328494678,0.230081922095628,0.351066298612139,0.926716746516067,3.71470046831997,0.0867267084089006,0.146210800489226,0.873836669034215,0.899512720821502,1.41340925321506,0.95722936026644,0.551374574659162,1.8,4972.6374325399,0.4,3060
6,1,0,Population based on de Vries,81.2317801516623,0.234473651810897,43.6876473220473,40,0.914347903238651,0.759161039983331,18.6129821833436,0.47,1.09212876662656,0.467192956550124,0.026792072606759,13.5028751504928,1.54446867871827,0.536545350881888,17.2105366515636,0.79,0.8,0.002,0.16,0.18,0.15,0.92,0.853,0.002024,0.0016,0.135,0.03,0.00899999999999998,0.0223887751886407,0.0389723848125659,0.0798690803831449,0.639289197627679,0.586010404954358,0.610703057048439,15.502602790077,1.5,0.0949446592397373,54,30,45.0425261798596,0.9,2.88812664082984,1.40387839638881,0.5,0.630151252068091,22.1408791571071,1.64714598364451,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.169184451935739,0.370514644146787,203.02985839556,0.888499327594005,0.934472982185199,2652,0.322947184857554,0.675305111941161,2.31298145199284,0.184699313594659,1.73949085588822,0.58,35.4898411673715,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.19,0.079,0.76,0.666,0.0306076125069672,0.179682472280784,0.36013183872796,0.958380238691163,3.97310749755409,0.085400795391706,0.0914986600563287,0.928360683931845,1.07663964265375,0.705902619631778,2.63170705758778,0.915974869783401,1.8,2693.63805326708,0.4,3060
7,1,0,Population based on de Vries,73.5918374334352,0.244249645266212,86.0533769643183,40,1.03672158115835,0.994896755830298,17.3579267936798,0.47,0.877175845821479,0.362431071795423,0.0289694959829162,10.2150317567615,1.36057003673618,0.416239843992196,25.2246621676184,0.79,0.8,0.002,0.16,0.18,0.15,0.92,0.853,0.002024,0.0016,0.135,0.03,0.00899999999999998,0.0218790007306543,0.0309031556051355,0.0789694494732898,0.52088702669461,0.798774384698485,0.337383367244992,14.9633152342892,1.5,0.134036835234271,54,30,44.6268807697559,0.9,1.3026835402165,0.445940779484332,0.5,0.778671650877998,8.83837686066571,0.924760053796189,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.152138995577267,0.158625070116667,97.9041579247144,0.611912202421832,0.411472369267808,2652,0.364056829240936,0.269030510122084,1.79483661533831,0.120681279291251,0.802362906292259,0.58,26.0597161790617,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.19,0.079,0.76,0.666,0.034311855572699,0.114154332171982,0.199515144687367,0.812236879877974,3.85772209750448,0.0842907563632313,0.0936559676706873,0.549104655130482,1.58341041216119,1.52861119451054,0.963667621666519,1.79308641694708,1.8,883.191104693208,0.4,3060
8,1,0,Population based on de Vries,61.1053177682556,0.22669991856385,67.8518808762784,40,1.94507275307337,0.97595695004067,16.4177569257697,0.47,0.852934769674291,0.40617972782732,0.0264583736854923,10.0232746102346,1.36455425897255,0.494364918698646,11.5414391427355,0.79,0.8,0.002,0.16,0.18,0.15,0.92,0.853,0.002024,0.0016,0.135,0.03,0.00899999999999998,0.0211252065572742,0.0319612368309756,0.0776877827229385,0.345502275066598,0.713386356538894,0.503251276575998,14.8594237049548,1.5,0.12941075653083,54,30,44.9179635198386,0.9,1.66102781534836,0.69499644631643,0.5,1.81319969931698,14.6099664500051,0.840315847787197,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.176077163762931,0.269319558710675,231.056535694703,0.764244259711558,0.65992837611408,2652,0.453438684543081,0.38101738531643,1.72924363051593,0.176815803753859,1.57654770717624,0.58,26.8900570419913,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.19,0.079,0.76,0.666,0.0371501052007163,0.197825486478623,0.264039063021376,0.779548093178298,3.31034688204514,0.0879184458888065,0.158891520934764,0.743952677097944,0.603083570837907,1.66235846970668,1.81154432594486,2.03843093684606,1.8,2278.4139578391,0.4,3060
9,1,0,Population based on de Vries,80.0451325919222,0.259433746620237,51.0810156590683,40,0.597858213312345,1.15899503138339,17.5652457554743,0.47,0.914481867363804,0.429715050088344,0.0284504568231327,11.7014731100204,1.52346221415108,0.491872159110854,16.6781620862543,0.79,0.8,0.002,0.16,0.18,0.15,0.92,0.853,0.002024,0.0016,0.135,0.03,0.00899999999999998,0.0238831750798645,0.034015116527166,0.0756356687304389,0.600606530908012,0.56795978453077,0.708523764290031,14.9709985064485,1.5,0.0892683381431504,54,30,45.1923462403283,0.9,2.25251846870609,1.30642438799745,0.5,0.815813395517897,24.3004065245946,0.464675034023795,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.155571726895843,0.389644525126737,84.5832958440973,0.858547881006088,0.926589987975845,2652,0.366448906093926,0.614607680980728,2.29290551196115,0.197977226254671,1.56822375348257,0.58,36.8069546495313,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.19,0.079,0.76,0.666,0.0364755482001958,0.202552732079876,0.355856401392309,0.918587655484026,4.00020682928575,0.0828730741534882,0.284693206498623,0.972390580911502,1.62114057560873,0.664923530782592,0.221491244242659,0.713849473662374,1.8,2085.59721773063,0.4,3060
